Rule ID,IF (Antecedents),THEN (Consequents),Support,Confidence,Confidence (%),Lift
1,"Diabetes_No, Weight_Weight_40_50","BMI_BMI_Underweight, Smoking_No",0.1007,0.6892,68.92%,3.1001
2,"BMI_BMI_Underweight, Smoking_No",Weight_Weight_40_50,0.1132,0.5091,50.91%,3.0962
3,Weight_Weight_40_50,"BMI_BMI_Underweight, Smoking_No",0.1132,0.6883,68.83%,3.0962
4,"Smoking_No, Weight_Weight_40_50",BMI_BMI_Underweight,0.1132,0.8685,86.85%,3.0934
5,"Diabetes_No, Smoking_No, Weight_Weight_40_50",BMI_BMI_Underweight,0.1007,0.8685,86.85%,3.0932
6,"BMI_BMI_Underweight, Heart Rate_HR_Normal",Weight_Weight_40_50,0.1054,0.5084,50.84%,3.0916
7,Weight_Weight_40_50,"BMI_BMI_Underweight, Heart Rate_HR_Normal",0.1054,0.6409,64.09%,3.0916
8,"BMI_BMI_Underweight, Diabetes_No, Smoking_No",Weight_Weight_40_50,0.1007,0.508,50.8%,3.0891
9,Weight_Weight_40_50,"BMI_BMI_Underweight, Diabetes_No, Smoking_No",0.1007,0.6121,61.21%,3.0891
10,"Smoking_No, Weight_Weight_40_50","BMI_BMI_Underweight, Diabetes_No",0.1007,0.7724,77.24%,3.0869
11,"Heart Rate_HR_Normal, Weight_Weight_40_50",BMI_BMI_Underweight,0.1054,0.8664,86.64%,3.0857
12,"Diabetes_No, Weight_Weight_40_50",BMI_BMI_Underweight,0.1264,0.8658,86.58%,3.0837
13,"BMI_BMI_Underweight, Temperature_Temp_Normal",Weight_Weight_40_50,0.1104,0.507,50.7%,3.0833
14,Weight_Weight_40_50,"BMI_BMI_Underweight, Temperature_Temp_Normal",0.1104,0.6715,67.15%,3.0833
15,BMI_BMI_Underweight,Weight_Weight_40_50,0.1423,0.5069,50.69%,3.0829
16,Weight_Weight_40_50,BMI_BMI_Underweight,0.1423,0.8656,86.56%,3.0829
17,"Temperature_Temp_Normal, Weight_Weight_40_50",BMI_BMI_Underweight,0.1104,0.8647,86.47%,3.0798
18,Weight_Weight_40_50,"BMI_BMI_Underweight, Diabetes_No",0.1264,0.769,76.9%,3.0733
19,"BMI_BMI_Underweight, Diabetes_No",Weight_Weight_40_50,0.1264,0.5054,50.54%,3.0733
20,Height_Height_160_170,"Diabetes_No, Heart Rate_HR_Normal, Temperature_Temp_Normal",0.1032,0.5223,52.23%,1.0163
21,Height_Height_160_170,"Heart Rate_HR_Normal, Smoking_No",0.118,0.5967,59.67%,1.0152
